"x","y","aspect","dem","ndvi","savi","slope","tpi","tri"
456211.985758297,8703411.89782319,5.3930835723877,3900,0.280853360891342,0.128304943442345,0.238555386662483,7.875,14.875
449864.061787118,8702282.55681416,3.77142333984375,3546,0.213683813810349,0.102855958044529,0.271058410406113,4.875,19.125
451783.201592358,8703186.02962139,2.9414381980896,3467,0.656968355178833,0.369253069162369,0.209076851606369,-6.25,12.75
455769.107341703,8710037.3650762,1.03134489059448,4465,0.407490491867065,0.266194224357605,0.21676167845726,2.25,12.75
457392.994869214,8709435.04987139,2.33132100105286,4305,0.36124250292778,0.225061222910881,0.131963387131691,0.5,7.25
458721.630118996,8710639.68028102,5.16627264022827,4380,0.284026026725769,0.146588817238808,0.176465228199959,3.625,10.625
457466.807938646,8708832.73466657,3.62303876876831,4338,0.347158044576645,0.206406712532043,0.0618582032620907,6.875,6.875
457540.621008079,8706122.31624488,4.18940877914429,4258,0.368768662214279,0.148699179291725,0.43083119392395,4.75,26.25
449494.996439956,8701680.24160934,2.63268756866455,3403,0.464510262012482,0.290221512317657,0.224730119109154,-5.75,13.5
463002.78814607,8705821.15864247,5.81971073150635,4572,0.287372320890427,0.0529225990176201,0.251220226287842,0.125,15.125
462043.21824345,8708380.99826295,1.95299506187439,4398,0.32291767001152,0.182326450943947,0.48098161816597,-1,30.25
456728.677244323,8706122.31624488,4.79699897766113,4330,0.329350590705872,0.16422276198864,0.305120080709457,3.875,18.125
450823.631689738,8702433.13561536,3.14159274101257,3431,0.815190255641937,0.349650204181671,0.0564999207854271,-1.375,3.625
457835.873285808,8707477.52545572,5.73651885986328,4454,0.251905560493469,0.145881548523903,0.00973635539412498,5.125,5.375
462412.283590611,8707025.78905211,0.00424360437318683,4449,0.284918576478958,0.181820541620255,0.378425270318985,-2.5,22.5
462486.096660044,8707929.26185934,5.25925827026367,4427,0.264398396015167,0.142259165644646,0.532007575035095,1.5,33.5
454292.845953057,8706574.05264849,2.48556017875671,4175,0.401324093341827,0.169744938611984,0.572490870952606,-0.625,35.625
452521.332286681,8702207.26741355,4.60235548019409,3668,0.381524801254272,0.15055425465107,0.375214040279388,2.125,22.375
459090.695466157,8710564.39088042,5.34917831420898,4420,0.416753500699997,0.253402709960938,0.277972668409348,-5,16.25
448166.361190175,8701228.50520572,4.25444316864014,3378,0.641952335834503,0.442078232765198,0.0150498263537884,-0.125,0.875
459681.200021616,8708380.99826295,4.94903182983398,4196,0.30226942896843,0.154569908976555,0.510918080806732,-0.625,32.875
455990.54655,8707477.52545572,3.32951378822327,4237,0.521405756473541,0.276304602622986,0.16115140914917,-8.375,12.375
459238.321605022,8708757.44526596,1.86536312103271,4412,0.326783299446106,0.199810802936554,0.537405908107758,7.75,34.75
462707.535868341,8708305.70886235,5.31964445114136,4401,0.289731860160828,0.166286274790764,0.297052502632141,-3,17.5
458204.938632969,8711467.86368765,2.90894770622253,4421,0.310078591108322,0.115692630410194,0.350726544857025,-7.25,21.75
456064.359619432,8704240.08122982,3.07811045646667,3805,0.397873610258102,0.0891138762235641,0.549013555049896,-1.625,34.875
460197.891507642,8707853.97245874,5.07981824874878,4460,0.321898847818375,0.17451910674572,0.326000690460205,-3.625,19.625
459016.882396725,8709962.0756756,5.10816621780396,4513,0.232785925269127,0.111185945570469,0.312986075878143,0.875,18.875
450749.818620306,8701604.95220874,5.15435409545898,3424,0.362153589725494,0.229506939649582,0.184563502669334,2.625,11.125
457983.499424673,8705745.86924187,2.26268219947815,4099,0.404563397169113,0.257397711277008,0.480692535638809,4.375,28.625
455030.97664738,8712070.17889247,1.60822689533234,4584,0.273969709873199,0.178336381912231,0.26065319776535,6.5,15.5
461526.526757424,8710112.65447681,4.65118408203125,4635,0.189665526151657,0.0922767892479897,0.290690451860428,9.375,20.875
456507.238036026,8709435.04987139,1.2465101480484,4370,0.378253132104874,0.242301747202873,0.155363440513611,0.75,9
458869.25625786,8706574.05264849,1.81929099559784,4163,0.339534640312195,0.211264282464981,0.442198038101196,-1.875,27.125
457835.873285808,8710714.96968163,1.07507574558258,4410,0.287871181964874,0.160669445991516,0.0593837425112724,8.625,8.625
462559.909729476,8707477.52545572,4.23999166488647,4530,0.286037921905518,0.124568797647953,0.253966569900513,6.25,16.75
455842.920411135,8705143.55403705,4.44703960418701,3867,0.453486800193787,0.225662901997566,0.499406337738037,0.625,31.875
456581.051105459,8705971.73744367,4.68196821212769,4224,0.359754979610443,0.152902141213417,0.500479161739349,-1.125,30.625
453554.715258734,8706423.47384729,2.79076671600342,4044,0.342941403388977,0.157251879572868,0.331013649702072,-13,21.25
460493.143785371,8706574.05264849,3.27551031112671,4308,0.31927078962326,0.105542197823524,0.59013158082962,9.25,39.75
457319.181799782,8709284.47107018,0.606616497039795,4323,0.352657437324524,0.230238631367683,0.152686566114426,1.125,8.875
457466.807938646,8705745.86924187,3.71528434753418,4054,0.446976214647293,0.14311446249485,0.456578820943832,-11.25,28
462559.909729476,8708682.15586536,4.84233045578003,4349,0.432365268468857,0.249710708856583,0.140293002128601,-3.75,8.25
455400.041994541,8703261.31902199,5.88837957382202,3785,0.474625200033188,0.223159402608871,0.409741014242172,-1.25,25.25
454957.163577948,8710187.94387741,0.916537940502167,4527,0.404843151569366,0.25766533613205,0.114306822419167,-0.5,6.25
454957.163577948,8703863.63422681,2.32735300064087,3606,0.597112834453583,0.328443497419357,0.316193878650665,-5.125,17.875
459755.013091048,8709585.62867259,2.12172770500183,4400,0.295238643884659,0.158773466944695,0.475423902273178,4.125,29.375
454071.40674476,8704164.79182922,2.83262276649475,3784,0.344138145446777,0.198060154914856,0.244705349206924,7.25,15.75
458500.190910699,8707176.36785331,1.44231104850769,4350,0.2711021900177,0.153151839971542,0.458315491676331,5.625,28.375
462781.348937773,8710037.3650762,3.06231141090393,4626,0.183597460389137,0.064202569425106,0.34743469953537,12.625,22.875
455326.228925109,8710187.94387741,0.768019080162048,4503,0.335640370845795,0.211140021681786,0.0968316569924355,0.375,5.125
461305.087549127,8708908.02406717,4.3488597869873,4591,0.351202219724655,0.176565170288086,0.225349307060242,1.375,13.375
461821.779035153,8705294.13283825,5.21526098251343,4525,0.315677911043167,0.189722865819931,0.180939972400665,0.875,10.125
463224.227354367,8706122.31624488,5.43646192550659,4555,0.371073871850967,0.224128797650337,0.215096011757851,-2.625,12.125
