"x","y","aspect","dem","ndvi","savi","slope","tpi","tri"
460419.330715939,8707402.23605512,3.75195527076721,4513,0.376384377479553,0.246185138821602,0.117205247282982,1.75,6.25
459459.760813319,8708682.15586536,2.25222730636597,4231,0.35504424571991,0.189305573701859,0.566800117492676,-3.125,35.125
455621.481202838,8707552.81485632,2.04181408882141,4362,0.289774388074875,0.147986337542534,0.331845909357071,5.125,19.875
461600.339826856,8710112.65447681,4.65118408203125,4635,0.189665526151657,0.0922767892479897,0.290690451860428,9.375,20.875
455769.107341703,8705520.00104006,2.58184504508972,3904,0.512650549411774,0.312670201063156,0.415933281183243,-5.25,25.25
454735.724369651,8711467.86368765,1.07213139533997,4580,0.288612395524979,0.16871252655983,0.12799534201622,4.75,7.5
458795.443188428,8705896.44804307,1.80400991439819,4017,0.410413384437561,0.258203774690628,0.483811914920807,1.75,29.5
460345.517646507,8708832.73466657,5.31899070739746,4382,0.323332458734512,0.169769048690796,0.321144908666611,-0.625,18.625
454735.724369651,8705971.73744367,4.9808235168457,3955,0.433467596769333,0.217054724693298,0.509137690067291,-5.875,33.125
459828.82616048,8706875.2102509,3.64184617996216,4225,0.406254559755325,0.162114515900612,0.528513014316559,-3,34
460788.3960631,8705670.57984126,6.23446083068848,4357,0.3260078728199,0.214796259999275,0.333487302064896,0,19.75
458352.564771834,8704917.68583524,5.91713190078735,3855,0.501778602600098,0.297787010669708,0.489455044269562,-1.25,31.25
458647.817049563,8704992.97523584,4.86734485626221,3948,0.473084628582001,0.232191786170006,0.581625819206238,-0.5,36.5
458352.564771834,8708456.28766355,1.54936444759369,4158,0.316968023777008,0.195859655737877,0.301063477993011,0.75,17.5
460862.209132533,8708380.99826295,4.79155778884888,4597,0.291217386722565,0.165935933589935,0.146190792322159,2.125,8.125
455547.668133406,8707251.65725392,1.51286244392395,4346,0.248947113752365,0.12757733464241,0.279768824577332,2.75,16
452373.706147817,8702884.87201898,5.89934968948364,3512,0.623375713825226,0.352520227432251,0.369702577590942,-2,22.5
461157.461410262,8708305.70886235,2.32854413986206,4582,0.357186943292618,0.222373589873314,0.226012483239174,-1.75,13.75
456581.051105459,8709435.04987139,1.49162483215332,4358,0.401069641113281,0.263148605823517,0.146185904741287,-0.75,8.25
456581.051105459,8706724.6314497,4.82150506973267,4263,0.336522996425629,0.166261613368988,0.378065139055252,1.375,22.625
462559.909729476,8707929.26185934,5.31478071212769,4464,0.266564667224884,0.135819733142853,0.506588160991669,3.5,31.25
453702.341397598,8702734.29321777,5.37312984466553,3810,0.252751052379608,0.119151063263416,0.418309986591339,1.25,24
459164.50853559,8704390.66003102,5.33170223236084,4296,0.301709353923798,0.162841454148293,0.263139396905899,5.125,14.875
460419.330715939,8706875.2102509,4.08473825454712,4422,0.431747496128082,0.205360949039459,0.416108310222626,2.375,24.625
453333.276050437,8704992.97523584,5.24656867980957,3673,0.61228996515274,0.281357526779175,0.117087252438068,-27.375,27.375
456064.359619432,8704240.08122982,3.07811045646667,3805,0.397873610258102,0.0891138762235641,0.549013555049896,-1.625,34.875
454292.845953057,8708230.41946175,3.03794622421265,4389,0.533483743667603,0.352038323879242,0.129723057150841,-3.5,8.75
454661.911300218,8709209.18166958,2.50942230224609,4463,0.51571398973465,0.355237036943436,0.219123005867004,-5.75,13
461231.274479694,8708456.28766355,3.34171366691589,4603,0.286593228578568,0.137538999319077,0.109887130558491,2.875,7.375
456876.303383188,8712220.75769367,2.96364331245422,4478,0.262832313776016,0.0979748517274857,0.421113878488541,3.125,25.375
458057.312494105,8704240.08122982,6.20483827590942,4037,0.311088651418686,0.193358659744263,0.494338899850845,-5.875,31.125
461378.900618559,8709284.47107018,5.59840965270996,4553,0.27667111158371,0.144579336047173,0.319421499967575,-2.125,18.375
455769.107341703,8706724.6314497,1.55677878856659,4294,0.259662836790085,0.133004635572433,0.342043578624725,7.125,20.625
460124.07843821,8708305.70886235,5.11642837524414,4460,0.243847712874413,0.119612000882626,0.393098503351212,6.625,24.125
457614.434077511,8710790.25908223,4.76503229141235,4388,0.315303355455399,0.173182785511017,0.21779277920723,4,13.25
452152.26693952,8703562.4766244,3.10021448135376,3565,0.677422225475311,0.247096434235573,0.315435945987701,-14,23
461157.461410262,8708606.86646476,5.74598741531372,4584,0.249023571610451,0.142797321081161,0.239294588565826,-1.125,14.375
455621.481202838,8712070.17889247,3.12090039253235,4416,0.398434847593307,0.258790791034698,0.0813506320118904,-4.375,5.375
457319.181799782,8704842.39643464,1.93323814868927,3910,0.30498605966568,0.176046818494797,0.494794100522995,6.625,30.625
460493.143785371,8706574.05264849,3.27551031112671,4308,0.31927078962326,0.105542197823524,0.59013158082962,9.25,39.75
450528.379412009,8702207.26741355,2.85298824310303,3422,0.589783012866974,0.363383054733276,0.141345828771591,-6.625,8.375
457171.555660917,8709359.76047078,0.831593990325928,4326,0.335417360067368,0.222584262490273,0.12040813267231,-0.75,7
460124.07843821,8708531.57706416,5.46878147125244,4420,0.244822666049004,0.132404670119286,0.407325834035873,1.875,23.375
455842.920411135,8711919.60009126,4.3622088432312,4418,0.336625397205353,0.208903610706329,0.0966777205467224,-2.5,5.5
459016.882396725,8705068.26463645,6.21836137771606,3979,0.395663410425186,0.247204318642616,0.394869387149811,-10.75,26.25
454661.911300218,8703411.89782319,5.76961708068848,3701,0.300547957420349,0.143037006258965,0.685287833213806,7.75,47.75
456211.985758297,8702809.58261837,0.253889411687851,3984,0.303464412689209,0.186991855502129,0.0737668722867966,2.75,5.5
454883.350508515,8706574.05264849,4.64618492126465,4119,0.368438988924026,0.126492500305176,0.662126958370209,7.25,44.75
461452.713687991,8710489.10147982,5.23620939254761,4516,0.248006582260132,0.113102540373802,0.318073809146881,-3.625,18.875
461157.461410262,8706574.05264849,4.05364227294922,4139,0.390168905258179,0.197778955101967,0.252657681703568,-16.125,21.875
455842.920411135,8711543.15308825,1.88837599754333,4400,0.358041435480118,0.230776637792587,0.037273533642292,-0.25,2.5
462707.535868341,8707326.94665452,3.00130009651184,4499,0.383457690477371,0.192057758569717,0.25946256518364,0.625,15.375
461821.779035153,8705294.13283825,5.21526098251343,4525,0.315677911043167,0.189722865819931,0.180939972400665,0.875,10.125
453923.780605895,8706799.9208503,3.59365677833557,4169,0.290898978710175,0.116882964968681,0.296160638332367,-7.5,20.75
461009.835271397,8710790.25908223,3.77787518501282,4493,0.273299753665924,0.0669569671154022,0.428732872009277,7,27.25
458500.190910699,8709209.18166958,3.91983532905579,4294,0.389268547296524,0.209095060825348,0.322385340929031,-9.125,20.375
457097.742591485,8705896.44804307,1.89272582530975,4269,0.352492779493332,0.205341354012489,0.446262210607529,4.875,27.875
457614.434077511,8707853.97245874,0.533297717571259,4417,0.292535722255707,0.170912429690361,0.253299862146378,-0.5,15
463298.040423799,8709435.04987139,4.78090763092041,4530,0.277440965175629,0.107677862048149,0.432502329349518,-2.75,26.25
459164.50853559,8704541.23883223,5.7775616645813,4255,0.278366148471832,0.151285350322723,0.445295363664627,6.875,27.875
456433.424966594,8706875.2102509,3.64580488204956,4232,0.368997037410736,0.145268321037292,0.351469844579697,-2.75,20.5
461452.713687991,8707477.52545572,2.11832427978516,4362,0.330416351556778,0.180613741278648,0.509895205497742,0.125,31.875
